S&S DISTRIBUTION SUMMARY,,,,,,
Category,Count,Percentage,,,,
S&S,24,25%,,,,
Non - S&S,72,75%,,,,
,,,,,,
,,,,,,
S&S BY MINE,,,,,,
Mine Name,Mine ID,Total Citations,S&S Count,Non-S&S Count,S&S %,Non-S&S %
3 M Corona Plant,0400191,19,4,15,21.05%,78.95%
Wausau Plant,4702918,21,2,19,9.52%,90.48%
3 M Little Rock Industrial Mineral Prod,0300426,35,13,22,37.14%,62.86%
Greystone Plant,4700119,21,5,16,23.81%,76.19%
